x,y
54,18
54,19
53,20
53,21
53,22
53,23
53,24
52,25
52,26
52,27
52,28
52,29
51,30
51,31
51,32
51,33
51,34
50,35
50,36
50,37
50,38
50,39
49,40
49,41
49,42
49,43
49,44
48,45
48,46
48,47
48,48
48,49
47,50
47,51
47,52
47,53
47,54
46,55
46,56
46,57
46,58
46,59
45,60
45,61
45,62
45,63
45,64
44,65
44,66
44,67
44,68
44,69
43,70
43,71
43,72
43,73
43,74
42,75
42,76
42,77
42,78
43,78
44,78
45,78
46,78
47,78
48,78
49,78
50,78
51,78
52,78
53,78
54,78
55,78
56,78
57,79
57,80
56,81
56,82
56,83
56,84
55,85
55,86
55,87
55,88
54,89
54,90
54,91
54,92
54,93
53,94
53,95
53,96
53,97
53,98
52,99
52,100
52,101
52,102
51,103
51,104
51,105
51,106
51,107
50,108
50,109
50,110
50,111
50,112
49,113
49,114
49,115
49,116
48,117
48,118
48,119
48,120
47,121
47,122
47,123
47,124
47,125
46,126
46,127
46,128
46,129
46,130
45,131
45,132
45,133
45,134
44,135
44,136
44,137
44,138
44,139
43,140
43,141
43,142
43,143
43,144
42,145
42,146
42,147
42,148
41,149
41,150
41,151
41,152
40,153
40,154
40,155
40,156
40,157
39,158
39,159
39,160
39,161
39,162
38,163
38,164
38,165
38,166
37,167
37,168
37,169
37,170
37,171
36,172
36,173
36,174
36,175
36,176
35,177
35,178
35,179
35,180
34,181
34,182
34,183
34,184
34,185
33,186
33,187
33,188
33,189
32,190
31,190
30,190
29,190
28,190
27,190
26,190
25,190
24,190
23,190
22,190
21,190
20,190
19,190
18,191
18,192
18,193
18,194
18,195
17,196
17,197
17,198
17,199
17,200
16,201
16,202
16,203
16,204
15,205
15,206
15,207
15,208
15,209
14,210
14,211
14,212
14,213
13,214
13,215
13,216
13,217
13,218
12,219
12,220
12,221
12,222
11,223
11,224
11,225
11,226
10,227
10,228
10,229
10,230
10,231
9,232
9,233
9,234
9,235
8,236
8,237
8,238
8,239
8,240
7,241
7,242
7,243
7,244
7,245
6,246
6,247
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,248
14,248
15,248
16,248
17,248
18,248
19,248
20,248
21,248
22,248
23,248
24,248
25,248
26,248
27,248
28,248
29,248
30,248
31,248
32,248
33,248
34,248
35,248
36,248
37,248
38,248
39,248
40,248
41,248
42,248
43,248
44,248
45,248
46,248
47,248
48,248
49,248
50,248
51,248
52,248
53,248
54,248
55,248
56,248
57,248
58,248
59,248
60,248
61,248
62,248
63,248
64,248
65,248
66,248
67,248
68,248
69,248
70,248
71,248
72,248
73,248
74,248
75,248
76,248
77,248
78,248
79,248
80,248
81,248
82,248
83,248
84,248
85,248
86,248
87,248
88,248
89,248
90,248
91,248
92,248
92,247
92,246
92,245
92,244
93,243
93,242
93,241
93,240
94,239
94,238
94,237
94,236
94,235
95,234
95,233
95,232
95,231
95,230
96,229
96,228
96,227
96,226
96,225
97,224
97,223
97,222
97,221
97,220
98,219
98,218
98,217
98,216
99,215
99,214
99,213
99,212
99,211
100,210
100,209
100,208
100,207
100,206
101,205
101,204
101,203
101,202
102,201
102,200
102,199
102,198
102,197
103,196
103,195
103,194
103,193
103,192
104,191
104,190
104,189
104,188
104,187
105,186
105,185
105,184
105,183
105,182
106,181
106,180
106,179
106,178
107,177
107,176
107,175
107,174
107,173
108,172
108,171
108,170
108,169
108,168
109,167
109,166
109,165
109,164
110,163
110,162
110,161
110,160
110,159
111,158
111,157
111,156
111,155
111,154
112,153
113,153
114,154
114,155
115,156
115,157
116,158
116,159
117,160
117,161
118,162
118,163
118,164
119,165
119,166
120,167
120,168
121,169
121,170
122,171
122,172
123,173
123,174
123,175
124,176
124,177
125,178
125,179
126,180
126,181
126,182
127,183
127,184
128,185
128,186
129,187
129,188
130,189
130,190
131,191
131,192
132,193
132,194
132,195
133,196
133,197
134,198
134,199
135,200
135,201
135,202
136,203
136,204
137,205
137,206
138,207
138,208
139,209
139,210
140,211
140,212
140,213
141,214
141,215
142,216
142,217
143,218
143,219
144,220
144,221
145,222
145,223
145,224
146,224
147,223
147,222
148,221
149,220
150,219
151,218
151,217
152,216
153,215
154,214
154,213
155,212
156,211
157,210
158,209
158,208
159,207
160,206
161,205
161,204
162,203
163,202
164,201
165,200
165,199
166,198
167,197
168,196
168,195
169,194
170,193
171,192
171,191
172,190
173,189
174,188
175,187
175,186
176,185
177,184
178,183
178,182
179,181
180,180
181,179
182,178
182,177
183,176
184,175
185,174
185,173
186,172
187,171
188,170
189,169
189,168
190,167
191,166
192,165
192,164
193,163
194,162
195,161
196,160
196,159
197,158
198,157
199,156
200,157
200,158
200,159
200,160
200,161
199,162
199,163
199,164
199,165
199,166
198,167
198,168
198,169
198,170
198,171
198,172
197,173
197,174
197,175
197,176
197,177
196,178
196,179
196,180
196,181
195,182
195,183
195,184
195,185
195,186
194,187
194,188
194,189
194,190
194,191
193,192
193,193
193,194
193,195
193,196
192,197
192,198
192,199
192,200
192,201
191,202
191,203
191,204
191,205
191,206
190,207
190,208
190,209
190,210
190,211
189,212
189,213
189,214
189,215
189,216
188,217
188,218
188,219
188,220
188,221
187,222
187,223
187,224
187,225
187,226
186,227
186,228
186,229
186,230
186,231
185,232
185,233
185,234
185,235
185,236
184,237
184,238
184,239
184,240
184,241
183,242
183,243
183,244
183,245
183,246
182,247
182,248
183,248
184,248
185,248
186,248
187,248
188,248
189,248
190,248
191,248
192,248
193,248
194,248
195,248
196,248
197,248
198,248
199,248
200,248
201,248
202,248
203,248
204,248
205,248
206,248
207,248
208,248
209,248
210,248
211,248
212,248
213,248
214,248
215,248
216,248
217,248
218,248
219,248
220,248
221,248
222,248
223,248
224,248
225,248
226,248
227,248
228,248
229,248
230,248
231,248
232,248
233,248
234,248
235,248
236,248
237,248
238,248
239,248
240,248
241,248
242,248
